,sim_question,sim_option,survey_total,survey_nonstate,survey_state
81,['82.  To what degree A typical member of the Russian elites agrees with the statement that in any society it will always be necessary to prohibit the public expression of dangerous ideas?'],"{'Completely agree': [59.675132777249274, 5.450121344383289], 'Completely disagree': [60.85962974400314, 8.301700457329114], 'Neither agree nor disagree': [55.50357645888256, 1.165475913668985]}","(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.366255
Mostly agree                                                                 0.226337
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.201646
(2008 to 2020) Completely disagree                                           0.119342
Completely agree                                                             0.086420
Name: DANIDEA, dtype: float64","(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.352381
Mostly agree                                                                 0.323810
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.133333
Completely agree                                                             0.104762
(2008 to 2020) Completely disagree                                           0.085714
Name: DANIDEA, dtype: float64","(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.376812
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.253623
Mostly agree                                                                 0.152174
(2008 to 2020) Completely disagree                                           0.144928
Completely agree                                                             0.072464
Name: DANIDEA, dtype: float64"
82,['83.  To what degree A typical member of the Russian elites agrees with the statement that the rights of the individual should be protected even if guilty people sometimes go free?'],"{'Completely agree': [69.12996945008746, 8.678627268223886], 'Completely disagree': [62.77479792411263, 0], 'Neither agree nor disagree': [51.909896440662095, 1.4322904150106643]}","Mostly agree                                                                 0.432773
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.201681
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.168067
Completely agree                                                             0.105042
(2008 to 2020) Completely disagree                                           0.092437
Name: DEFINDIV, dtype: float64","Mostly agree                                                                 0.366337
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.247525
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.237624
(2008 to 2020) Completely disagree                                           0.089109
Completely agree                                                             0.059406
Name: DEFINDIV, dtype: float64","Mostly agree                                                                 0.481752
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.167883
Completely agree                                                             0.138686
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.116788
(2008 to 2020) Completely disagree                                           0.094891
Name: DEFINDIV, dtype: float64"
83,['84.  To what degree A typical member of the Russian elites agrees with the statement that  the interests of society should be protected even if innocent people sometimes end up in prison?'],"{'Completely agree': [56.9680566173702, 0.2074302427410639], 'Completely disagree': [67.9111358465282, 13.559402922223214], 'Neither agree nor disagree': [54.26731992365434, 7.836667848035733]}","(2008 to 2020) Completely disagree                                           0.341667
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.333333
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.179167
Mostly agree                                                                 0.129167
Completely agree                                                             0.016667
Name: DEFSOC, dtype: float64","(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.359223
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.242718
(2008 to 2020) Completely disagree                                           0.194175
Mostly agree                                                                 0.174757
Completely agree                                                             0.029126
Name: DEFSOC, dtype: float64","(2008 to 2020) Completely disagree                                           0.452555
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.313869
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.131387
Mostly agree                                                                 0.094891
Completely agree                                                             0.007299
Name: DEFSOC, dtype: float64"
84,"['85.  To what degree A typical member of the Russian elites agrees with the statement that of all the philosophies that exist in the world, only one is undoubtedly correct?']","{'Completely agree': [56.585954374797396, 11.908948204756634], 'Completely disagree': [62.31312574846702, 10.779056519534933], 'Neither agree nor disagree': [55.36101797690495, 0.6937769071897005]}","(2008 to 2020) Completely disagree                                           0.336170
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.289362
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.187234
Mostly agree                                                                 0.170213
Completely agree                                                             0.017021
Name: ONEPHILO, dtype: float64","(2008 to 2020) Completely disagree                                           0.313131
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.303030
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.181818
Mostly agree                                                                 0.171717
Completely agree                                                             0.030303
Name: ONEPHILO, dtype: float64","(2008 to 2020) Completely disagree                                           0.352941
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.279412
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.191176
Mostly agree                                                                 0.169118
Completely agree                                                             0.007353
Name: ONEPHILO, dtype: float64"
85,['86.  To what degree A typical member of the Russian elites agrees with the statement that  human nature is basically cooperative?'],"{'Completely agree': [54.763683505377124, 11.34136796627885], 'Neither agree nor disagree': [69.73854202754818, 11.329296087066]}","Mostly agree                                                         0.459016
Completely agree                                                     0.331967
(1993 to 2004) Mostly disagree; (2020) Neither agree nor disagree    0.139344
(1993 to 2004) Completely disagree; (2020) Mostly disagree           0.057377
(2020) Completely disagree                                           0.012295
Name: HUMCOOP, dtype: float64","Mostly agree                                                         0.476190
Completely agree                                                     0.295238
(1993 to 2004) Mostly disagree; (2020) Neither agree nor disagree    0.114286
(1993 to 2004) Completely disagree; (2020) Mostly disagree           0.085714
(2020) Completely disagree                                           0.028571
Name: HUMCOOP, dtype: float64","Mostly agree                                                         0.446043
Completely agree                                                     0.359712
(1993 to 2004) Mostly disagree; (2020) Neither agree nor disagree    0.158273
(1993 to 2004) Completely disagree; (2020) Mostly disagree           0.035971
(2020) Completely disagree                                           0.000000
Name: HUMCOOP, dtype: float64"
86,"['87.  To what degree A typical member of the Russian elites agrees with the statement that  the idea of ""Russia is for Russians [russkikh]!""? ']","{'Completely agree': [73.41462053023575, 16.644956256456794], 'Completely disagree': [49.116628133305944, 0], 'Neither agree nor disagree': [55.3366305401476, 0]}","Mostly disagree               0.365145
Completely disagree           0.232365
Mostly agree                  0.157676
Neither agree nor disagree    0.153527
Completely agree              0.091286
Name: RUSSIAFORRUS, dtype: float64","Mostly disagree               0.359223
Completely disagree           0.223301
Neither agree nor disagree    0.165049
Mostly agree                  0.155340
Completely agree              0.097087
Name: RUSSIAFORRUS, dtype: float64","Mostly disagree               0.369565
Completely disagree           0.239130
Mostly agree                  0.159420
Neither agree nor disagree    0.144928
Completely agree              0.086957
Name: RUSSIAFORRUS, dtype: float64"
87,"[""88.  To what degree A typical member of the Russian elites agrees with the statement that Stalin is blamed for things he didn't do?""]","{'Completely disagree': [67.83056735557246, 5.543093470471238], 'Neither agree nor disagree': [61.636659023243126, 9.241239322614861]}","(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.368664
(2008 to 2020) Completely disagree                                           0.317972
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.207373
Mostly agree                                                                 0.069124
Completely agree                                                             0.036866
Name: STALIN, dtype: float64","(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.365591
(2008 to 2020) Completely disagree                                           0.322581
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.225806
Mostly agree                                                                 0.053763
Completely agree                                                             0.032258
Name: STALIN, dtype: float64","(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.370968
(2008 to 2020) Completely disagree                                           0.314516
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.193548
Mostly agree                                                                 0.080645
Completely agree                                                             0.040323
Name: STALIN, dtype: float64"
88,['89.  To what degree A typical member of the Russian elites agrees with the statement that  competition among various political parties will make our political system stronger? '],"{'Completely agree': [59.79591321913287, 15.58976039351685], 'Completely disagree': [50.276995973679504, 0], 'Neither agree nor disagree': [62.65468775523049, 4.434140185173953]}","Mostly agree                                                                 0.301255
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.263598
Completely agree                                                             0.179916
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.171548
(2008 to 2020) Completely disagree                                           0.083682
Name: COMPPOL, dtype: float64","Mostly agree                                                                 0.300971
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.271845
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.213592
Completely agree                                                             0.126214
(2008 to 2020) Completely disagree                                           0.087379
Name: COMPPOL, dtype: float64","Mostly agree                                                                 0.301471
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.257353
Completely agree                                                             0.220588
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.139706
(2008 to 2020) Completely disagree                                           0.080882
Name: COMPPOL, dtype: float64"
89,"['90.  To what degree A typical member of the Russian elites agrees with the statement that  competition among enterprises, firms, and organizations benefits our society?']","{'Completely agree': [74.48393842438819, 6.5338585676770276], 'Neither agree nor disagree': [63.10007463735684, 6.583438573974139]}","Mostly agree                                                                 0.522449
Completely agree                                                             0.216327
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.212245
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.036735
(2008 to 2020) Completely disagree                                           0.012245
Name: COMPECO, dtype: float64","Mostly agree                                                                 0.580952
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.219048
Completely agree                                                             0.152381
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.038095
(2008 to 2020) Completely disagree                                           0.009524
Name: COMPECO, dtype: float64","Mostly agree                                                                 0.478571
Completely agree                                                             0.264286
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.207143
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.035714
(2008 to 2020) Completely disagree                                           0.014286
Name: COMPECO, dtype: float64"
90,"['91.  To what degree A typical member of the Russian elites agrees with the statement that  it is normal when the owner of a prosperous enterprise, using the labor of his workers, becomes richer than other people?']","{'Completely agree': [77.876887687892, 0.7546685519797095], 'Completely disagree': [55.227868277742274, 0], 'Neither agree nor disagree': [50.07438785852195, 3.6901451972024004]}","Mostly agree                                                                 0.460905
Completely agree                                                             0.271605
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.144033
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.106996
(2008 to 2020) Completely disagree                                           0.016461
Name: RICHER, dtype: float64","Mostly agree                                                                 0.552381
Completely agree                                                             0.180952
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.133333
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.114286
(2008 to 2020) Completely disagree                                           0.019048
Name: RICHER, dtype: float64","Mostly agree                                                                 0.391304
Completely agree                                                             0.340580
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.152174
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.101449
(2008 to 2020) Completely disagree                                           0.014493
Name: RICHER, dtype: float64"
91,['92.  To what degree A typical member of the Russian elites agrees with the statement that there is no sense in starting a new business since it might fail? '],"{'Completely agree': [61.86635389810711, 10.554610380916957], 'Completely disagree': [58.26101749797253, 4.18827928196099], 'Neither agree nor disagree': [58.14015459034475, 3.2184251097974763]}","(2008 to 2020) Completely disagree                                           0.481481
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.362140
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.078189
Mostly agree                                                                 0.061728
Completely agree                                                             0.016461
Name: NEWBUSI, dtype: float64","(2008 to 2020) Completely disagree                                           0.423077
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.336538
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.125000
Mostly agree                                                                 0.096154
Completely agree                                                             0.019231
Name: NEWBUSI, dtype: float64","(2008 to 2020) Completely disagree                                           0.525180
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.381295
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.043165
Mostly agree                                                                 0.035971
Completely agree                                                             0.014388
Name: NEWBUSI, dtype: float64"
92,['93.  To what degree A typical member of the Russian elites agrees with the statement that  all heavy industry should belong to the state and not be privately owned?'],"{'Completely agree': [52.44473486888109, 0], 'Completely disagree': [64.57967730528, 19.132308759762395], 'Neither agree nor disagree': [56.015777197404034, 6.577086490073172]}","Mostly agree                                                                 0.295359
Completely agree                                                             0.274262
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.253165
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.143460
(2008 to 2020) Completely disagree                                           0.033755
Name: STATEIND, dtype: float64","Mostly agree                                                                 0.326733
Completely agree                                                             0.257426
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.237624
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.138614
(2008 to 2020) Completely disagree                                           0.039604
Name: STATEIND, dtype: float64","Completely agree                                                             0.286765
Mostly agree                                                                 0.272059
(1993 to 2004) Mostly disagree; (2008 to 2020) Neither agree nor disagree    0.264706
(1993 to 2004) Completely disagree; (2008 to 2020) Mostly disagree           0.147059
(2008 to 2020) Completely disagree                                           0.029412
Name: STATEIND, dtype: float64"
93,['94.  To what degree A typical member of the Russian elites agrees with the statement that  the most important thing for a leader is to follow his convictions and not give in to public pressure?'],"{'Completely agree': [82.24663743880377, 4.0994548180021075], 'Completely disagree': [57.31539068450794, 0], 'Neither agree nor disagree': [64.35858613136114, 7.466004063487286]}","Mostly agree                                                                 0.359184
Completely agree                                                             0.232653
(1993 to 2004) Mostly disagree; (2016 to 2020) Neither agree nor disagree    0.204082
(1993 to 2004) Completely disagree; (2016 to 2020) Mostly disagree           0.142857
(2016 to 2020) Completely disagree                                           0.061224
Name: LEADERBE, dtype: float64","Mostly agree                                                                 0.438095
Completely agree                                                             0.228571
(1993 to 2004) Mostly disagree; (2016 to 2020) Neither agree nor disagree    0.180952
(1993 to 2004) Completely disagree; (2016 to 2020) Mostly disagree           0.095238
(2016 to 2020) Completely disagree                                           0.057143
Name: LEADERBE, dtype: float64","Mostly agree                                                                 0.300000
Completely agree                                                             0.235714
(1993 to 2004) Mostly disagree; (2016 to 2020) Neither agree nor disagree    0.221429
(1993 to 2004) Completely disagree; (2016 to 2020) Mostly disagree           0.178571
(2016 to 2020) Completely disagree                                           0.064286
Name: LEADERBE, dtype: float64"
94,['95.  To what degree A typical member of the Russian elites agrees with the statement that  those people who do not observe Russian traditions and customs cannot become true Russians [rossiyanami]?'],"{'Completely agree': [56.003716417605254, 10.415087282567631], 'Completely disagree': [68.08860597319344, 0], 'Neither agree nor disagree': [49.88403110814009, 3.3975393468731605]}","Mostly agree                  0.436975
Completely agree              0.197479
Mostly disagree               0.151261
Neither agree nor disagree    0.147059
Completely disagree           0.067227
Name: RUSSTRADIT, dtype: float64","Mostly agree                  0.411765
Completely agree              0.225490
Mostly disagree               0.176471
Neither agree nor disagree    0.166667
Completely disagree           0.019608
Name: RUSSTRADIT, dtype: float64","Mostly agree                  0.455882
Completely agree              0.176471
Mostly disagree               0.132353
Neither agree nor disagree    0.132353
Completely disagree           0.102941
Name: RUSSTRADIT, dtype: float64"
95,['96.  To what degree A typical member of the Russian elites agrees with the statement that  homosexuality can never be justified?'],"{'Completely disagree': [77.89192183460285, 16.832926497534864], 'Neither agree nor disagree': [55.76984820560676, 13.675463951947686]}","Completely agree              0.358696
Mostly agree                  0.255435
Neither agree nor disagree    0.173913
Mostly disagree               0.141304
Completely disagree           0.070652
Name: HOMOSEX, dtype: float64","Completely agree              0.435294
Mostly agree                  0.305882
Neither agree nor disagree    0.152941
Mostly disagree               0.070588
Completely disagree           0.035294
Name: HOMOSEX, dtype: float64","Completely agree              0.292929
Mostly agree                  0.212121
Mostly disagree               0.202020
Neither agree nor disagree    0.191919
Completely disagree           0.101010
Name: HOMOSEX, dtype: float64"
96,['97.  To what degree A typical member of the Russian elites agrees with the statement that  abortion can never be justified.'],"{'Completely disagree': [69.11761846822978, 4.990168978401443], 'Neither agree nor disagree': [59.509287298299796, 8.420944429064338]}","Neither agree nor disagree    0.270718
Mostly disagree               0.243094
Mostly agree                  0.215470
Completely disagree           0.171271
Completely agree              0.099448
Name: ABORTION, dtype: float64","Neither agree nor disagree    0.285714
Mostly agree                  0.246753
Mostly disagree               0.220779
Completely disagree           0.155844
Completely agree              0.090909
Name: ABORTION, dtype: float64","Mostly disagree               0.259615
Neither agree nor disagree    0.259615
Mostly agree                  0.192308
Completely disagree           0.182692
Completely agree              0.105769
Name: ABORTION, dtype: float64"
97,['98.  To what degree A typical member of the Russian elites agrees with the statement that Russia is part of European civilization. '],"{'Completely agree': [65.70498529628355, 5.5514665274933455], 'Completely disagree': [63.52686768247321, 0.027990274095826724], 'Neither agree nor disagree': [63.0997791439665, 3.4997379044545602]}","Mostly agree                  0.534694
Completely agree              0.253061
Neither agree nor disagree    0.179592
Mostly disagree               0.020408
Completely disagree           0.012245
Name: EURCIV, dtype: float64","Mostly agree                  0.476190
Completely agree              0.276190
Neither agree nor disagree    0.180952
Mostly disagree               0.047619
Completely disagree           0.019048
Name: EURCIV, dtype: float64","Mostly agree                  0.578571
Completely agree              0.235714
Neither agree nor disagree    0.178571
Completely disagree           0.007143
Mostly disagree               0.000000
Name: EURCIV, dtype: float64"
98,['99.  Which of these statements is closer to A typical member of the Russian elites’s point of view?'],"{'Taking into account the history and geographic position of Russia at the crossroads of Europe and Asia, it should follow a unique Russian path.': [89.61859333001348, 7.918466857968955]}","Taking into acct. the history & geo. posn. of Russ. at the x-roads of Eur. & Asia, it should follow a unique Russ. path.    0.695473
Russia should follow the path of developed countries & assimilate the experience & achievements of Western civilization.    0.300412
99.0                                                                                                                        0.004115
Name: EUROPHIL, dtype: float64","Taking into acct. the history & geo. posn. of Russ. at the x-roads of Eur. & Asia, it should follow a unique Russ. path.    0.788462
Russia should follow the path of developed countries & assimilate the experience & achievements of Western civilization.    0.201923
99.0                                                                                                                        0.009615
Name: EUROPHIL, dtype: float64","Taking into acct. the history & geo. posn. of Russ. at the x-roads of Eur. & Asia, it should follow a unique Russ. path.    0.625899
Russia should follow the path of developed countries & assimilate the experience & achievements of Western civilization.    0.374101
99.0                                                                                                                        0.000000
Name: EUROPHIL, dtype: float64"
99,"['100.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, corruption on the part of state officials']","{'Decreased': [57.99227580999982, 0], 'Increased': [83.99083191785783, 4.312365172126845], 'Remained unchanged': [47.94867106779798, 0]}","1. Increased             0.440171
2. Decreased             0.329060
3. Remained unchanged    0.230769
Name: EVPUCORR, dtype: float64","2. Decreased             0.474227
1. Increased             0.268041
3. Remained unchanged    0.257732
Name: EVPUCORR, dtype: float64","1. Increased             0.562044
2. Decreased             0.226277
3. Remained unchanged    0.211679
Name: EVPUCORR, dtype: float64"
100,"['101.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, income inequality']","{'Increased': [68.52446047502842, 23.238190777894456], 'Remained unchanged': [37.11018966656205, 0]}","1. Increased             0.660944
3. Remained unchanged    0.214592
2. Decreased             0.124464
Name: EVPUINEQ, dtype: float64","1. Increased             0.545455
3. Remained unchanged    0.303030
2. Decreased             0.151515
Name: EVPUINEQ, dtype: float64","1. Increased             0.746269
3. Remained unchanged    0.149254
2. Decreased             0.104478
Name: EVPUINEQ, dtype: float64"
101,"['102.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, political stability in Russia']","{'Decreased': [66.88414115131778, 0], 'Increased': [82.53440942450437, 1.9801972058632722], 'Remained unchanged': [59.37506673617175, 6.200867546921091]}","1. Increased             0.634454
3. Remained unchanged    0.235294
2. Decreased             0.130252
Name: EVPUPOLST, dtype: float64","1. Increased             0.708738
3. Remained unchanged    0.184466
2. Decreased             0.106796
Name: EVPUPOLST, dtype: float64","1. Increased             0.577778
3. Remained unchanged    0.274074
2. Decreased             0.148148
Name: EVPUPOLST, dtype: float64"
102,"['103.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, the influence of Russia in the world']","{'Decreased': [80.87272605385695, 6.377669276446911], 'Increased': [81.04585598868621, 6.810491974807313]}","1. Increased             0.807377
3. Remained unchanged    0.118852
2. Decreased             0.073770
Name: EVPUINFL, dtype: float64","1. Increased             0.846154
2. Decreased             0.076923
3. Remained unchanged    0.076923
Name: EVPUINFL, dtype: float64","1. Increased             0.778571
3. Remained unchanged    0.150000
2. Decreased             0.071429
Name: EVPUINFL, dtype: float64"
103,"['104.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, democracy and human rights in Russia']","{'Decreased': [89.8189353188515, 2.6788600754271314], 'Increased': [66.34397869291057, 0], 'Remained unchanged': [60.192742344656835, 0]}","3. Remained unchanged    0.386364
1. Increased             0.327273
2. Decreased             0.286364
Name: EVPUDEMO, dtype: float64","3. Remained unchanged    0.427083
1. Increased             0.416667
2. Decreased             0.156250
Name: EVPUDEMO, dtype: float64","2. Decreased             0.387097
3. Remained unchanged    0.354839
1. Increased             0.258065
Name: EVPUDEMO, dtype: float64"
104,"['105.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, the responsiveness of the state to the needs of the population']","{'Decreased': [77.67132290701396, 8.760282853947201], 'Increased': [73.12583024285018, 5.353646926064491]}","1. Increased             0.460251
3. Remained unchanged    0.297071
2. Decreased             0.242678
Name: EVPURESPONSE, dtype: float64","1. Increased             0.557692
3. Remained unchanged    0.288462
2. Decreased             0.153846
Name: EVPURESPONSE, dtype: float64","1. Increased             0.385185
2. Decreased             0.311111
3. Remained unchanged    0.303704
Name: EVPURESPONSE, dtype: float64"
105,"['106.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, the population’s standard of living']","{'Decreased': [56.689068334358055, 10.767147926606205], 'Increased': [89.13491024293671, 3.5476136406686254]}","2. Decreased             0.42654
1. Increased             0.36019
3. Remained unchanged    0.21327
Name: EVPULIV, dtype: float64","1. Increased             0.473118
2. Decreased             0.311828
3. Remained unchanged    0.215054
Name: EVPULIV, dtype: float64","2. Decreased             0.516949
1. Increased             0.271186
3. Remained unchanged    0.211864
Name: EVPULIV, dtype: float64"
106,"['107.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, respect for Russia in the world']","{'Decreased': [81.50207049513148, 11.98322482061086], 'Increased': [72.74200871298534, 6.282804425438273]}","1. Increased             0.697479
3. Remained unchanged    0.193277
2. Decreased             0.109244
Name: EVPURESPECT, dtype: float64","1. Increased             0.740385
3. Remained unchanged    0.211538
2. Decreased             0.048077
Name: EVPURESPECT, dtype: float64","1. Increased             0.664179
3. Remained unchanged    0.179104
2. Decreased             0.156716
Name: EVPURESPECT, dtype: float64"
107,"['108.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, morality and Christian values in Russia']","{'Decreased': [87.97377135025789, 4.210112227533984], 'Increased': [66.10495754418992, 3.7092798500574116], 'Remained unchanged': [42.26047009441026, 0]}","3. Remained unchanged    0.531915
1. Increased             0.289362
2. Decreased             0.178723
Name: EVPUMORAL, dtype: float64","3. Remained unchanged    0.504950
1. Increased             0.366337
2. Decreased             0.128713
Name: EVPUMORAL, dtype: float64","3. Remained unchanged    0.552239
1. Increased             0.231343
2. Decreased             0.216418
Name: EVPUMORAL, dtype: float64"
108,"['109.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, military readiness and strength']","{'Decreased': [71.79539747150768, 11.433154300963022], 'Increased': [83.8502218297578, 9.54092399923836]}","1. Increased             0.872428
3. Remained unchanged    0.098765
2. Decreased             0.028807
Name: EVPUMIL, dtype: float64","1. Increased             0.903846
3. Remained unchanged    0.086538
2. Decreased             0.009615
Name: EVPUMIL, dtype: float64","1. Increased             0.848921
3. Remained unchanged    0.107914
2. Decreased             0.043165
Name: EVPUMIL, dtype: float64"
109,"['110.  In the last twenty years since the year 2000, according to A typical member of the Russian elites, integration of the post-Soviet space']","{'Decreased': [55.355628074602635, 9.647478984208426], 'Increased': [77.58945822811127, 8.707335965554384]}","3. Remained unchanged    0.437209
1. Increased             0.334884
2. Decreased             0.227907
Name: EVPUINTEGR, dtype: float64","3. Remained unchanged    0.412371
1. Increased             0.350515
2. Decreased             0.237113
Name: EVPUINTEGR, dtype: float64","3. Remained unchanged    0.457627
1. Increased             0.322034
2. Decreased             0.220339
Name: EVPUINTEGR, dtype: float64"
110,"['111.  At the present time, immigrants -- citizens of other countries, including the former Soviet republics -- live in Russia. A typical member of the Russian elites thinks that immigrants are helpful for the development of the Russian economy.']","{'Mostly agree': [51.08395628704925, 13.550381935151798], 'Mostly disagree': [41.39361155970974, 16.07209801946337]}","Mostly agree           0.356846
Mostly disagree        0.356846
Completely disagree    0.236515
Completely agree       0.049793
Name: IMMIGECON, dtype: float64","Mostly disagree        0.413462
Mostly agree           0.384615
Completely disagree    0.153846
Completely agree       0.048077
Name: IMMIGECON, dtype: float64","Mostly agree           0.335766
Mostly disagree        0.313869
Completely disagree    0.299270
Completely agree       0.051095
Name: IMMIGECON, dtype: float64"
111,"['112.  At the present time, immigrants -- citizens of other countries, including the former Soviet republics -- live in Russia. A typical member of the Russian elites thinks that immigrants take jobs away from Russians.']","{'Completely agree': [36.58035914837097, 6.868989714753031], 'Completely disagree': [40.82630176248573, 14.733813122984971], 'Mostly agree': [48.377362207243365, 14.515267423345596], 'Mostly disagree': [33.16745573556121, 12.178736857024585]}","Mostly disagree        0.495726
Mostly agree           0.260684
Completely agree       0.183761
Completely disagree    0.059829
Name: IMMIGJOBS, dtype: float64","Mostly disagree        0.556701
Mostly agree           0.247423
Completely agree       0.134021
Completely disagree    0.061856
Name: IMMIGJOBS, dtype: float64","Mostly disagree        0.452555
Mostly agree           0.270073
Completely agree       0.218978
Completely disagree    0.058394
Name: IMMIGJOBS, dtype: float64"
112,"['113.  At the present time, immigrants -- citizens of other countries, including the former Soviet republics -- live in Russia. A typical member of the Russian elites thinks that immigrants make Russia more open to new ideas and cultural influences.']","{'Mostly agree': [53.332320693337934, 12.864433102867615], 'Mostly disagree': [40.145624681970276, 4.611416737664053]}","Mostly disagree        0.371795
Completely disagree    0.273504
Mostly agree           0.260684
Completely agree       0.094017
Name: IMMIGOPEN, dtype: float64","Mostly disagree        0.366337
Mostly agree           0.287129
Completely disagree    0.237624
Completely agree       0.108911
Name: IMMIGOPEN, dtype: float64","Mostly disagree        0.375940
Completely disagree    0.300752
Mostly agree           0.240602
Completely agree       0.082707
Name: IMMIGOPEN, dtype: float64"
113,"['114.  At the present time, immigrants -- citizens of other countries, including the former Soviet republics -- live in Russia. A typical member of the Russian elites thinks that immigrants cause an increase in the crime rate.']","{'Completely agree': [35.93214957806291, 8.388080882690682], 'Completely disagree': [34.374544665188175, 11.11088714118718], 'Mostly agree': [51.561246272275426, 16.141938939010398], 'Mostly disagree': [37.44553104115745, 9.05633975056927]}","Mostly agree           0.469565
Mostly disagree        0.278261
Completely agree       0.200000
Completely disagree    0.052174
Name: IMMIGCRIME, dtype: float64","Mostly agree           0.463918
Mostly disagree        0.298969
Completely agree       0.185567
Completely disagree    0.051546
Name: IMMIGCRIME, dtype: float64","Mostly agree           0.473684
Mostly disagree        0.263158
Completely agree       0.210526
Completely disagree    0.052632
Name: IMMIGCRIME, dtype: float64"
